phase,model,horizon,n_features,n_train,n_test,train_time_sec,train_r2,train_mae_bps,train_rmse_bps,train_direction_acc,train_correlation,test_r2,test_mae_bps,test_rmse_bps,test_direction_acc,test_correlation,train_direction_acc_all,train_direction_acc_nonzero,train_pct_zeros,test_direction_acc_all,test_direction_acc_nonzero,test_pct_zeros
phase1_linear,LinearRegression,return_50ms,14,9376893,2344224,4.001899003982544,0.0009090430015349,0.1152808799651983,0.377735309740446,0.122356307147794,0.0301503399903702,0.000737014402078,0.1139509154849993,0.3475209044920176,0.1305067263196691,0.0272803473966037,,,,,,
phase1_linear,Ridge,return_50ms,14,9376893,2344224,1.8573579788208008,0.0009090430015348,0.1152808794494903,0.377735309740446,0.122356307147794,0.030150339990369,0.0007370144262486,0.1139509149743259,0.3475209044878147,0.1305067263196691,0.0272803476642567,,,,,,
phase1_linear,Lasso,return_50ms,14,9376893,2344224,1.4610648155212402,0.0,0.1114869641127292,0.3779071157034557,0.1110903153101992,-3.119936034436699e-16,-8.328548799507729e-07,0.110280648018642,0.3476491840506437,0.1188107450482547,-3.553126635063283e-16,,,,,,
phase1_linear,LinearRegression,return_50ms,12,9376893,2344224,2.5740580558776855,0.0008971653247296,0.1152361689185059,0.3777375550838559,0.1222271598918746,0.029952718152607,0.0007174163152848,0.1139058816965463,0.3475243123593925,0.1303949622561666,0.0269188667361738,,,,,,
phase1_linear,Ridge,return_50ms,12,9376893,2344224,1.5014309883117676,0.0008971653247294,0.1152361684243182,0.3777375550838559,0.1222271598918746,0.0299527181526068,0.0007174163402604,0.1139058812076244,0.3475243123550496,0.1303949622561666,0.0269188670162782,,,,,,
phase1_linear,Lasso,return_50ms,12,9376893,2344224,1.3304760456085205,0.0,0.1114869641127292,0.3779071157034557,0.1110903153101992,-3.119936034436699e-16,-8.328548799507729e-07,0.110280648018642,0.3476491840506437,0.1188107450482547,-3.553126635063283e-16,,,,,,
phase1_linear,LinearRegression,return_50ms,9,9376893,2344224,1.6808393001556396,0.0008501376049422,0.1151589763914911,0.3777464450230308,0.1224719104718375,0.0291571192840133,0.0007490897623171,0.1138243505870098,0.3475188047180589,0.1306364067597635,0.027400746935845,,,,,,
phase1_linear,Ridge,return_50ms,9,9376893,2344224,1.0527920722961426,0.0008501376049422,0.115158975898578,0.3777464450230308,0.1224718038267046,0.0291571192840122,0.0007490897812564,0.1138243500986116,0.3475188047147656,0.1306364067597635,0.0274007472336824,,,,,,
phase1_linear,Lasso,return_50ms,9,9376893,2344224,1.070077896118164,0.0,0.1114869641127292,0.3779071157034557,0.1110903153101992,-3.119936034436699e-16,-8.328548799507729e-07,0.110280648018642,0.3476491840506437,0.1188107450482547,-3.553126635063283e-16,,,,,,
phase1_linear,LinearRegression,return_50ms,14,10549005,1172112,4.717309951782227,0.0009032682640895,0.1153831733681537,0.3750990026687177,0.1232880257427122,0.0300544217061235,0.0006511313238266,0.1119299444746176,0.3416371045862021,0.1354955840397504,0.0265539276933931,,,,,,
phase1_linear,Ridge,return_50ms,14,10549005,1172112,1.7648417949676514,0.0009032682640894,0.1153831729236818,0.3750990026687177,0.1232880257427122,0.0300544217061245,0.0006511313907129,0.1119299440062314,0.3416371045747692,0.1354955840397504,0.0265539279164348,,,,,,
phase1_linear,Lasso,return_50ms,14,10549005,1172112,1.8629369735717771,0.0,0.1116779152372538,0.375268525032996,0.1114962975181071,,-1.7819211772796e-07,0.1079591304363436,0.3417484146909257,0.1228773359542432,,,,,,,
phase1_linear,LinearRegression,return_50ms,14,9376893,2344224,4.0492799282073975,0.0009090430015349,0.1152808799651983,0.377735309740446,0.122356307147794,0.0301503399903702,0.000737014402078,0.1139509154849993,0.3475209044920176,0.1305067263196691,0.0272803473966037,,,,,,
phase1_linear,Ridge,return_50ms,14,9376893,2344224,1.7025747299194336,0.0009090430015348,0.1152808794494903,0.377735309740446,0.122356307147794,0.030150339990369,0.0007370144262486,0.1139509149743259,0.3475209044878147,0.1305067263196691,0.0272803476642567,,,,,,
phase1_linear,Lasso,return_50ms,14,9376893,2344224,1.5900650024414062,0.0,0.1114869641127292,0.3779071157034557,0.1110903153101992,-3.119936034436699e-16,-8.328548799507729e-07,0.110280648018642,0.3476491840506437,0.1188107450482547,-3.553126635063283e-16,,,,,,
phase1_linear,LinearRegression,return_50ms,14,9376893,2344224,3.505194902420044,0.0009090430015349,0.1152808799651983,0.377735309740446,0.122356307147794,0.0301503399903702,0.000737014402078,0.1139509154849993,0.3475209044920176,0.1305067263196691,0.0272803473966037,,,,,,
phase1_linear,Ridge,return_50ms,14,9376893,2344224,1.8467440605163576,0.0009090430015348,0.1152808794494903,0.377735309740446,0.122356307147794,0.030150339990369,0.0007370144262486,0.1139509149743259,0.3475209044878147,0.1305067263196691,0.0272803476642567,,,,,,
phase1_linear,Lasso,return_50ms,14,9376893,2344224,1.8062241077423096,0.0,0.1114869641127292,0.3779071157034557,0.1110903153101992,-3.119936034436699e-16,-8.328548799507729e-07,0.110280648018642,0.3476491840506437,0.1188107450482547,-3.553126635063283e-16,,,,,,
phase1_linear,LinearRegression,return_50ms,14,9376893,2344224,4.105417966842651,0.0048241330963065,0.1262374217183953,0.3769944765875572,0.1334241523284951,0.069455979557604,0.0058506474674592,0.1237961377620939,0.3466305614204242,0.14262075637823,0.0777155559241727,,,,,,
phase1_linear,Ridge,return_50ms,14,9376893,2344224,2.2534358501434326,0.0048241330963062,0.1262374200120145,0.3769944765875574,0.1334241523284951,0.0694559795576019,0.0058506474246128,0.1237961362044685,0.3466305614278939,0.14262075637823,0.0777155561127118,,,,,,
phase1_linear,Lasso,return_50ms,14,9376893,2344224,2.523818016052246,0.0029855927729981,0.1189525285263303,0.3773425556250862,0.1341894378020523,0.0612561607295419,0.0037397464468127,0.1169274667306681,0.3469983707467282,0.1439226797439152,0.0714475044567314,,,,,,
phase1_linear,LinearRegression,return_200ms,14,9376893,2344224,4.2843451499938965,0.0060555988060396,0.3472940511322126,0.7235310991196593,0.3015912626922372,0.0778177280961118,0.007553360452569,0.3451632609705205,0.6743976796474502,0.3233308762302578,0.0889336834541719,,,,,,
phase1_linear,Ridge,return_200ms,14,9376893,2344224,2.1404008865356445,0.0060555988060393,0.3472940494888431,0.7235310991196594,0.3015912626922372,0.0778177280961087,0.007553360296277,0.345163259563937,0.6743976797005529,0.3233308762302578,0.0889336832961887,,,,,,
phase1_linear,Lasso,return_200ms,14,9376893,2344224,2.3820948600769043,0.0052711636766228,0.3433561835507054,0.7238165533526177,0.3018503037200062,0.0753834276183776,0.0068876259678414,0.3415569662905721,0.6746238351437447,0.3250487154811144,0.0897913016748732,,,,,,
phase1_linear,LinearRegression,return_500ms,14,9376893,2344224,6.265624046325684,0.004735994155949,0.6246755430994559,1.1396024614175748,0.4061213026532349,0.0688185596765057,0.0052993737759884,0.6263710492506724,1.0635988841055066,0.428739318426908,0.074710672918102,,,,,,
phase1_linear,Ridge,return_500ms,14,9376893,2344224,2.5941591262817383,0.0047359941559488,0.6246755423259526,1.1396024614175748,0.4061213026532349,0.0688185596765041,0.0052993736559642,0.6263710486832202,1.0635988841696755,0.428739318426908,0.0747106722697416,,,,,,
phase1_linear,Lasso,return_500ms,14,9376893,2344224,3.092579126358032,0.0043503945011834,0.6229124107042485,1.1398232007182705,0.4062357328808167,0.0675743591066301,0.005157074349983,0.6249051559805563,1.063674959305513,0.4309204239867862,0.075718201801096,,,,,,
phase1_linear,LinearRegression,return_500ms,14,9376893,2344224,3.899120092391968,0.004735994155949,0.6246755430994559,1.1396024614175748,,0.0688185596765057,0.0052993737759884,0.6263710492506724,1.0635988841055066,,0.074710672918102,0.4061213026532349,0.5446251857949608,0.2543104629646515,0.428739318426908,0.5451503547330281,0.2135393204744939
phase1_linear,Ridge,return_500ms,14,9376893,2344224,2.04459285736084,0.0047359941559488,0.6246755423259526,1.1396024614175748,,0.0688185596765041,0.0052993736559642,0.6263710486832202,1.0635988841696755,,0.0747106722697416,0.4061213026532349,0.5446251857949608,0.2543104629646515,0.428739318426908,0.5451503547330281,0.2135393204744939
phase1_linear,Lasso,return_500ms,14,9376893,2344224,2.5721189975738525,0.0043503945011834,0.6229124107042485,1.1398232007182705,,0.0675743591066301,0.005157074349983,0.6249051559805563,1.063674959305513,,0.075718201801096,0.4062357328808167,0.5447786413845842,0.2543104629646515,0.4309204239867862,0.5479236727343733,0.2135393204744939
phase1_linear,LinearRegression,return_500ms,14,9376893,2344224,6.193049192428589,0.004735994155949,0.6246755430994559,1.1396024614175748,,0.0688185596765057,0.0052993737759884,0.6263710492506724,1.0635988841055066,,0.074710672918102,0.4061213026532349,0.5446251857949608,0.2543104629646515,0.428739318426908,0.5451503547330281,0.2135393204744939
phase1_linear,Ridge,return_500ms,14,9376893,2344224,2.3565711975097656,0.0047359941559488,0.6246755423259526,1.1396024614175748,,0.0688185596765041,0.0052993736559642,0.6263710486832202,1.0635988841696755,,0.0747106722697416,0.4061213026532349,0.5446251857949608,0.2543104629646515,0.428739318426908,0.5451503547330281,0.2135393204744939
phase1_linear,Lasso,return_500ms,14,9376893,2344224,3.5008749961853027,0.0043503945011834,0.6229124107042485,1.1398232007182705,,0.0675743591066301,0.005157074349983,0.6249051559805563,1.063674959305513,,0.075718201801096,0.4062357328808167,0.5447786413845842,0.2543104629646515,0.4309204239867862,0.5479236727343733,0.2135393204744939
phase1_linear,LinearRegression,return_500ms,14,9376893,2344224,4.06891393661499,0.004735994155949,0.6246755430994559,1.1396024614175748,,0.0688185596765057,0.0052993737759884,0.6263710492506724,1.0635988841055066,,0.074710672918102,0.4061213026532349,0.5446251857949608,0.2543104629646515,0.428739318426908,0.5451503547330281,0.2135393204744939
phase1_linear,Ridge,return_500ms,14,9376893,2344224,3.4906370639801025,0.0047359941559488,0.6246755423259526,1.1396024614175748,,0.0688185596765041,0.0052993736559642,0.6263710486832202,1.0635988841696755,,0.0747106722697416,0.4061213026532349,0.5446251857949608,0.2543104629646515,0.428739318426908,0.5451503547330281,0.2135393204744939
phase1_linear,Lasso,return_500ms,14,9376893,2344224,2.4937620162963867,0.0043503945011834,0.6229124107042485,1.1398232007182705,,0.0675743591066301,0.005157074349983,0.6249051559805563,1.063674959305513,,0.075718201801096,0.4062357328808167,0.5447786413845842,0.2543104629646515,0.4309204239867862,0.5479236727343733,0.2135393204744939
phase1_linear,LinearRegression,return_200ms,14,9376893,2344224,3.605926990509033,0.0060555988060396,0.3472940511322126,0.7235310991196593,,0.0778177280961118,0.007553360452569,0.3451632609705205,0.6743976796474502,,0.0889336834541719,0.3015912626922372,0.568545709503777,0.469539110662775,0.3233308762302578,0.5686761451025997,0.4314323204608433
phase1_linear,Ridge,return_200ms,14,9376893,2344224,1.7645378112792969,0.0060555988060393,0.3472940494888431,0.7235310991196594,,0.0778177280961087,0.007553360296277,0.345163259563937,0.6743976797005529,,0.0889336832961887,0.3015912626922372,0.568545709503777,0.469539110662775,0.3233308762302578,0.5686761451025997,0.4314323204608433
phase1_linear,Lasso,return_200ms,14,9376893,2344224,2.2742726802825928,0.0052711636766228,0.3433561835507054,0.7238165533526177,,0.0753834276183776,0.0068876259678414,0.3415569662905721,0.6746238351437447,,0.0897913016748732,0.3018503037200062,0.5690340415052045,0.469539110662775,0.3250487154811144,0.5716974903402483,0.4314323204608433
phase1_linear,LinearRegression,return_100ms,14,9376893,2344224,5.521144866943359,0.0058663358995818,0.2137774408292476,0.5203320997410574,,0.0765920093716134,0.0073221082245723,0.2103402849953734,0.4823341120060399,,0.0872498514009619,0.2111776256804892,0.5868166797601158,0.6401301582517791,0.2256469518271291,0.5851430758543179,0.6143730291985748
