phase,model,horizon,n_features,n_train,n_test,train_time_sec,n_estimators,max_depth,learning_rate,baseline_r2,improvement_over_baseline,train_r2,train_mae_bps,train_rmse_bps,train_direction_acc_all,train_direction_acc_nonzero,train_correlation,train_pct_zeros,train_directional_accuracy,val_r2,val_mae_bps,val_rmse_bps,val_direction_acc_all,val_direction_acc_nonzero,val_correlation,val_pct_zeros,val_directional_accuracy,test_r2,test_mae_bps,test_rmse_bps,test_direction_acc_all,test_direction_acc_nonzero,test_correlation,test_pct_zeros,test_directional_accuracy
phase4_xgboost,XGB_Fast,return_200ms,28,8204781,2344225,10.140980958938599,74,4,0.1,0.0085684359549056,0.005032986354969888,0.024937152862548828,0.34903645428130403,0.7233719857073371,0.30513160558459756,0.5715499601507764,0.16790268548985463,0.4661330997134476,30.513160558459756,0.011407852172851562,0.3240512160118669,0.6721102972021096,0.29248424423966674,0.577325559855443,0.10799334432674815,0.49338074636275914,29.248424423966675,0.013601422309875488,0.344394902640488,0.6723394683483204,0.32646908893130994,0.5741958960123045,0.11822628276351207,0.4314325630005652,32.64690889313099
phase4_xgboost,XGB_Balanced,return_200ms,28,8204781,2344225,8.753543853759766,35,6,0.1,0.0085684359549056,0.004512518596791177,0.03344130516052246,0.348103312717285,0.7202105959594254,0.3055039494655616,0.5722474071750518,0.2049430296581775,0.4661330997134476,30.55039494655616,0.008483946323394775,0.32351956178899854,0.6731035123975085,0.2928255088468584,0.5779991714577292,0.09218084602401928,0.49338074636275914,29.282550884685836,0.013080954551696777,0.34377237170701846,0.6725168258218619,0.326608580660986,0.5744412349476685,0.11586539414289586,0.4314325630005652,32.660858066098605
phase4_xgboost,XGB_Accurate,return_200ms,28,8204781,2344225,11.2624032497406,38,8,0.05,0.0085684359549056,0.00363782043471232,0.046758294105529785,0.34610297007020563,0.7152319260945197,0.3058786090695169,0.572949191840395,0.26583152995249126,0.4661330997134476,30.58786090695169,0.007061660289764404,0.32226413168245926,0.6735861214132003,0.2929705463049148,0.5782854563887009,0.0841847603431902,0.49338074636275914,29.29705463049148,0.01220625638961792,0.34235374187119305,0.6728148038972123,0.3268483187407352,0.5748628877968264,0.11250602457453049,0.4314325630005652,32.684831874073524
