phase,model,horizon,n_features,n_train,n_test,train_time_sec,n_estimators,max_depth,max_samples,baseline_r2,improvement_over_baseline,train_r2,train_mae_bps,train_rmse_bps,train_direction_acc_all,train_direction_acc_nonzero,train_correlation,train_pct_zeros,test_r2,test_mae_bps,test_rmse_bps,test_direction_acc_all,test_direction_acc_nonzero,test_correlation,test_pct_zeros
phase2_randomforest_optimized,RF_Fast,return_200ms,14,700000,200001,7.293509721755981,50,8,0.7,0.007553360452569,0.00103374066291,0.0277040358014596,0.3432275001980162,0.7004098221421619,0.3057114285714286,0.5678840019743442,0.2121684229333575,0.4616657142857143,0.008587101115479,0.3440539419418852,0.7259015509605844,0.3045334773326133,0.5658082975679543,0.0964195476240896,0.4617726911365443
phase2_randomforest_optimized,RF_Balanced,return_200ms,14,700000,200001,22.38304591178894,100,12,0.8,0.007553360452569,0.0037904875503045,0.0578349279054297,0.3434753956133431,0.6894717656775241,0.3088,0.5736212762118068,0.3167759420639701,0.4616657142857143,0.0113438480028735,0.3454485168744759,0.7248916186325054,0.3059684701576492,0.5684744440109247,0.110683210993499,0.4617726911365443
phase2_randomforest_optimized,RF_Accurate,return_200ms,14,700000,200001,63.87627601623535,200,15,0.9,0.007553360452569,0.0024547734340514,0.1047240741953907,0.3421538346768842,0.6720961991614895,0.31053,0.5768348928175271,0.404323620975235,0.4616657142857143,0.0100081338866204,0.3457932172721141,0.7253811321762579,0.3066784666076669,0.5697935826691192,0.1007023175444205,0.4617726911365443
phase2_randomforest_optimized,RF_Fast,return_200ms,14,8204781,2344225,112.65976691246031,50,8,0.7,0.007553360452569,-0.0020412860187726,0.0197510456607755,0.3464440061992142,0.7252931696778008,0.3031499561048613,0.5678380808814817,0.169182274659988,0.4661330997134476,0.0055120744337963,0.34329110852044,0.6750907372014445,0.3205362113278375,0.5637611134036088,0.0754294361040969,0.4314325630005652
phase2_randomforest_optimized,RF_Balanced,return_200ms,14,8204781,2344225,401.6880137920379,100,12,0.8,0.007553360452569,-0.0036607225545518,0.0419717382885588,0.3468347744447936,0.7170254226935815,0.3042501682860273,0.5698989169823442,0.2534774688759506,0.4661330997134476,0.0038926378980171,0.3466343971044574,0.6756401767001384,0.3180820953620066,0.5594447987395431,0.0683944099974833,0.4314325630005652
phase2_randomforest_optimized,RF_Accurate,return_200ms,14,8204781,2344225,1230.6848011016846,200,15,0.9,0.007553360452569,-0.007260845570894745,0.07356354419106659,0.34639283203077775,0.7051040544960481,0.30504641135455046,0.5713903806188718,0.31890358099058286,0.4661330997134476,0.0002925148816742551,0.34910526705584816,0.6768600220838153,0.315041005022982,0.5540961098398169,0.057540408835001194,0.4314325630005652
